country_index,country_name,continent,week,ymd,week_of_period,treated,after,num_streams,cases,deaths,cases_per_million,deaths_per_million
ar,Argentina,South America,1,2018-06-01,1,0,0,52839544,0,0,0,0
ar,Argentina,South America,2,2018-06-08,2,0,0,52796946,0,0,0,0
ar,Argentina,South America,3,2018-06-15,3,0,0,49516129,0,0,0,0
ar,Argentina,South America,4,2018-06-22,4,0,0,50326885,0,0,0,0
ar,Argentina,South America,5,2018-06-29,5,0,0,53552822,0,0,0,0
ar,Argentina,South America,6,2018-07-06,6,0,0,54659315,0,0,0,0
ar,Argentina,South America,7,2018-07-13,7,0,0,58790174,0,0,0,0
ar,Argentina,South America,8,2018-07-20,8,0,0,57077245,0,0,0,0
ar,Argentina,South America,9,2018-07-27,9,0,0,57747478,0,0,0,0
ar,Argentina,South America,10,2018-08-03,10,0,0,59749038,0,0,0,0
ar,Argentina,South America,11,2018-08-10,11,0,0,61620588,0,0,0,0
ar,Argentina,South America,12,2018-08-17,12,0,0,60584444,0,0,0,0
ar,Argentina,South America,13,2018-08-24,13,0,0,60594349,0,0,0,0
ar,Argentina,South America,14,2018-08-31,14,0,0,60104734,0,0,0,0
ar,Argentina,South America,15,2018-09-07,15,0,0,62742207,0,0,0,0
ar,Argentina,South America,16,2018-09-14,16,0,0,61904088,0,0,0,0
ar,Argentina,South America,17,2018-09-21,17,0,0,61818817,0,0,0,0
ar,Argentina,South America,18,2018-09-28,18,0,0,60693559,0,0,0,0
ar,Argentina,South America,19,2018-10-05,19,0,0,62518235,0,0,0,0
ar,Argentina,South America,20,2018-10-12,20,0,0,64062705,0,0,0,0
ar,Argentina,South America,21,2018-10-19,21,0,0,59768952,0,0,0,0
ar,Argentina,South America,22,2018-10-26,22,0,0,60675116,0,0,0,0
ar,Argentina,South America,23,2018-11-02,23,0,0,63652800,0,0,0,0
ar,Argentina,South America,24,2018-11-09,24,0,0,62027427,0,0,0,0
ar,Argentina,South America,25,2018-11-16,25,0,0,65969279,0,0,0,0
ar,Argentina,South America,26,2018-11-23,26,0,0,61867737,0,0,0,0
ar,Argentina,South America,27,2018-11-30,27,0,0,63033583,0,0,0,0
ar,Argentina,South America,28,2018-12-07,28,0,0,60634270,0,0,0,0
ar,Argentina,South America,29,2018-12-14,29,0,0,62724903,0,0,0,0
ar,Argentina,South America,30,2018-12-21,30,0,0,74053661,0,0,0,0
ar,Argentina,South America,31,2018-12-28,31,0,0,72345443,0,0,0,0
ar,Argentina,South America,32,2019-01-04,32,0,0,67565171,0,0,0,0
ar,Argentina,South America,33,2019-01-11,33,0,0,68998334,0,0,0,0
ar,Argentina,South America,34,2019-01-18,34,0,0,71181323,0,0,0,0
ar,Argentina,South America,35,2019-01-25,35,0,0,70262172,0,0,0,0
